"SerialNumber",Station,Waste Stream,Customer,Description,Status,Latitude,Longitude
2404032,yes,Trash,NYC Alliance for Downtown New York,N/W/C Water St & Maiden La,In Service,40.706212064878784,-74.0060114711639
2404032-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Water St & Maiden La,In Service,40.706212064878784,-74.0060114711639
2404050,yes,Trash,NYC Alliance for Downtown New York,N/E/C Water St & Whitehall St (inside bumpout),In Service,40.70251166228679,-74.01278028280336
2404050-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Water St & Whitehall St (inside bumpout),In Service,40.70251166228679,-74.01278028280336
2404051,yes,Trash,NYC Alliance for Downtown New York,N/W/C Maiden La & William St,In Service,40.70801743046388,-74.00801339999998
2404051-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Maiden La & William St,In Service,40.70801743046388,-74.00801339999998
2404053,yes,Trash,NYC Alliance for Downtown New York,N/W/C John St & Nassau St,In Service,40.709576128684034,-74.00846362209018
2404053-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C John St & Nassau St,In Service,40.709576128684034,-74.00846362209018
2404054,yes,Trash,NYC Alliance for Downtown New York,N/E/C Broadway & Wall St,In Service,40.70774555924655,-74.01156806378486
2404054-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Broadway & Wall St,In Service,40.70774555924655,-74.01156806378486
2404064,yes,Trash,NYC Alliance for Downtown New York,N/W/C Cortlandt St & Broadway,In Service,40.70987498830696,-74.01000059439065
2404064-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Cortlandt St & Broadway,In Service,40.70987498830696,-74.01000059439065
2404067,yes,Trash,NYC Alliance for Downtown New York,S/E/C Maiden Ln & Gold St,In Service,40.70715003488309,-74.0074227509262
2404067-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Maiden Ln & Gold St,In Service,40.70715003488309,-74.0074227509262
2404068,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water St & Broad St,In Service,40.70286973117928,-74.01156394418035
2404068-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Water St & Broad St,In Service,40.70286973117928,-74.01156394418035
2404069,yes,Trash,NYC Alliance for Downtown New York,S/E/C William St & Wall St,In Service,40.70635761759798,-74.0095195006117
2404069-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C William St & Wall St,In Service,40.70635761759798,-74.0095195006117
2404070,yes,Trash,NYC Alliance for Downtown New York,S/W/C Vessy St & Church St,In Service,40.71186190569286,-74.00991558977069
2404070-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Vessy St & Church St,In Service,40.71186190569286,-74.00991558977069
2404071,yes,Trash,NYC Alliance for Downtown New York,N/W/C Broadway & Bowling Green,In Service,40.70460859999677,-74.01331520230792
2404071-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Broadway & Bowling Green,In Service,40.70460859999677,-74.01331520230792
2404072,yes,Trash,NYC Alliance for Downtown New York,N/E/C Front St & Old Slip,In Service,40.70378170015695,-74.00824745396727
2404072-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Front St & Old Slip,In Service,40.70378170015695,-74.00824745396727
2404073,yes,Trash,NYC Alliance for Downtown New York,S/E/C Fulton St & Dutch St,In Service,40.709850593143045,-74.00701668282073
2404073-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Fulton St & Dutch St,In Service,40.709850593143045,-74.00701668282073
2404074,yes,Trash,NYC Alliance for Downtown New York,N/W/C South St & Old Slip,In Service,40.70335477932677,-74.00775199146267
2404074-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C South St & Old Slip,In Service,40.70335477932677,-74.00775199146267
2404075,yes,Trash,NYC Alliance for Downtown New York,N/E/C Broad st & Pearl St,In Service,40.70343089761692,-74.01155720244674
2404075-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Broad st & Pearl St,In Service,40.70343089761692,-74.01155720244674
2404076,yes,Trash,NYC Alliance for Downtown New York,S/W/C Greenwich St & Park Pl,In Service,40.71427193568993,-74.01161983743441
2404076-L,yes,Paper,NYC Alliance for Downtown New York,S/W/C Greenwich St & Park Pl,In Service,40.71427193568993,-74.01161983743441
